category,brand,product,price,weight,badge,shelf_life,country,rating,num_of_reviews,recommend,ingredient,reviews,nutrition,image_link,product_link,category_link
Fresh & Chilled Food,Charlie Bigham's,Charlie Bigham's Fish Pie for 2,8.5,655g,NA,LIFE 2d+,UK,3.6,226,66,"Potatoes, Milk, Cod (14%) (Fish), Cream (Milk), Salmon (9%) (Fish), Butter (Milk), Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Smoked Haddock (3%) (Fish), Water, Cheddar Cheese (Milk), Spinach, Free-Range Egg Yolk, Salt, Parsley, Fish Stock (Fish, Salt, Dried Potato, Sunflower Oil, Dried Cod (Fish), Lemon Juice Concentrate, Anchovy (Fish), Onion Powder), Lemon Juice, Yeast, White Pepper, Caramelised Sugar, Colours: Paprika Extract, Turmeric Extract",,,https://www.ocado.com/productImages/581/58144011_0_150x150.jpg?identifier=f79de14a3345daa72acd817589de39a1,https://www.ocado.com/products/charlie-bigham-s-fish-pie-for-2-58144011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Bakery,Brynmor,Brynmor Cashew & Coconut Flapjack,80,40g,Suitable for vegetarians,NA,United Kingdom,4.0,1,100,"Gluten Free Oats (38%), Golden Syrup, Vegetable Oils (Palm**, Rapeseed), Cane Sugar, Cashews (7%), Coconut (6%), Soya Flour, Chicory Fibre, Salt, Natural Flavouring, ** Sustainably sourced",,,https://www.ocado.com/productImages/538/538732011_0_150x150.jpg?identifier=0baf471ec1412d12cb323d807f11bbf7,https://www.ocado.com/products/brynmor-cashew-coconut-flapjack-538732011,https://www.ocado.com/browse/bakery-25189?hideOOS=true
"Soft Drinks, Tea & Coffee",Pellini,Pellini Luxury Armonioso Compostable Nespresso Compatible Coffee Capsules,3.65,10 per pack,Suitable for vegetarians,NA,Italy,3.1,14,36,NA,,,https://www.ocado.com/productImages/329/329187011_0_150x150.jpg?identifier=fdf98a53cd9003185a2b564059f583e1,https://www.ocado.com/products/pellini-luxury-armonioso-compostable-nespresso-compatible-coffee-capsules-329187011,https://www.ocado.com/browse/soft-drinks-tea-coffee-20977?hideOOS=true
Fresh & Chilled Food,Jude's,Jude's Flat White Coffee Milkshake Can,1.7,250ml,Suitable for vegetarians,NA,NA,4.3,34,83,"Semi-Skimmed Milk (82%), Coffee (13.6%) (Water, Arabica Coffee Extract), Sugar, Stabilisers (Carboxymethylcellulose, Cellulose), Acidity Regulator (Sodium Bicarbonate)Allergen Information",,,https://www.ocado.com/productImages/471/471124011_0_150x150.jpg?identifier=bedd8f87eabc3e2b62f5f5c92f788d5d,https://www.ocado.com/products/jude-s-flat-white-coffee-milkshake-can-471124011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh & Chilled Food,Purition,Purition Strawberry Vegan Wholefood Nutrition Powder,13,250g,Suitable for vegetarians,LIFE 1m+,UK,3.0,4,50,"Pea, Rice & Hemp Protein blend, Golden Linseed, Coconut, Sunflower kernels, Almonds NUTS, Freeze Dried Strawberries, Chia (Salvia Hispanica), Pumpkin seeds, SESAME seeds, Nutritional Yeast, Psyllium Husk, Apple Pectin, Sweetener: Steviol glycosides (Stevia)Allergen Information",,,https://www.ocado.com/productImages/486/486756011_0_150x150.jpg?identifier=b5dd6d8374272b8b4a3aa1e159c01053,https://www.ocado.com/products/purition-strawberry-vegan-wholefood-nutrition-powder-486756011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh & Chilled Food,Oxo,Oxo 24 Vegetable Stock Cubes,2.6,142g,Suitable for vegetarians,NA,NA,NA,NA,NA,"Salt, Potato Starch, Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Dried Glucose Syrup, Flavour Enhancers (Monosodium Glutamate, Disodium 5'-Ribonucleotides), Onion Extract, Flavourings, Palm Oil, Yeast Extract (contains Barley), Tomato Powder, Sugar, Dried Herbs (Parsley, Bay, Thyme), Black Pepper Extract",,,https://www.ocado.com/productImages/496/496336011_0_150x150.jpg?identifier=65ae31a205a0c211b6a79a854ecf28dc,https://www.ocado.com/products/oxo-24-vegetable-stock-cubes-496336011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
"Soft Drinks, Tea & Coffee",Dr Pepper,Dr Pepper,8.25,18 x 330ml,Suitable for vegetarians,NA,NA,4.3,3,34,"Carbonated Water, Sugar, Colour (Caramel E150d), Acid (Phosphoric Acid), Sweeteners (Aspartame, Acesulfame K), Preservative (Potassium Sorbate), Flavourings including Caffeine",,,https://www.ocado.com/productImages/551/551006011_0_150x150.jpg?identifier=95e561c1258615243a6591182c9d2bcf,https://www.ocado.com/products/dr-pepper-551006011,https://www.ocado.com/browse/soft-drinks-tea-coffee-20977?hideOOS=true
Fresh & Chilled Food,Benecol,Benecol Cholesterol Lowering Pomegranate Yoghurt Drink,3.9499999999999997,6 x 67.5g,Suitable for vegetarians,LIFE 1w+,NA,3.0,6,34,"Yogurt (85%) (Skimmed Milk, Yogurt Cultures), Pomegranate Juice (8%), Plant Stanol Ester (Plant Stanols 3%), Stabiliser (Pectin), Colour (Beetroot Juice), Flavouring, Sweetener (Sucralose), Vitamin B1*, *Vitamin B1 contributes to the normal function of the heart",,,https://www.ocado.com/productImages/485/485855011_0_150x150.jpg?identifier=a4bcd09145dd7f27e7dd366bd27e6278,https://www.ocado.com/products/benecol-cholesterol-lowering-pomegranate-yoghurt-drink-485855011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
"Soft Drinks, Tea & Coffee",Storm Tea,Storm Tea Organic Handcrafted Estate Breakfast Loose Leaf Tea Caddy,9.5,100g,"Organic, Suitable for vegetarians",NA,NA,4.0,7,72,"Ceylon Highland Tea*, Assam Tea*, *Certified Organic",,,https://www.ocado.com/productImages/410/410433011_0_150x150.jpg?identifier=b192c04628da199ae9fd7b948e32248c,https://www.ocado.com/products/storm-tea-organic-handcrafted-estate-breakfast-loose-leaf-tea-caddy-410433011,https://www.ocado.com/browse/soft-drinks-tea-coffee-20977?hideOOS=true
Bakery,New York Bakery,New York Bakery Co. Loaded Everything Deli Bagels,1.3,4 per pack,"Suitable for freezing, Suitable for vegetarians",LIFE 2d+,United Kingdom,3.4,33,52,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamine), Water, Sesame Seeds (5%), Dehydrated Toasted Onions (2%), Dehydrated Red Onions (2%), Poppy Seeds (1.5%), Yeast, Cultured Dextrose, Caramelized Red Onion (1%) (Red Onion, Sugar, Balsamic Vinegar), Maize, Garlic Puree (1%) (Garlic, Brown Sugar, Sunflower Oil), Salt, Rapeseed Oil, Fermented Wheat Flour, Spirit Vinegar, Flour Treatment Agent (Ascorbic Acid)Allergen Information",,,https://www.ocado.com/productImages/545/545474011_0_150x150.jpg?identifier=7b83196ee643aadc383222db15a6a5db,https://www.ocado.com/products/new-york-bakery-co-loaded-everything-deli-bagels-545474011,https://www.ocado.com/browse/bakery-25189?hideOOS=true
