title,weight,price,shelf_life,images,product_link,category_link
Ocado British Semi Skimmed Milk 4 Pints,2.272L,£1.15,LIFE 6d+,https://www.ocado.com/productImages/789/78914011_0_150x150.jpg?identifier=07c7d01d0a0fa606bdf4b2cdc7e5ace9,https://www.ocado.com/products/ocado-british-semi-skimmed-milk-4-pints-78914011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Seedless Easy Peelers,600g,£2.50,LIFE 3d+,https://www.ocado.com/productImages/517/517762011_0_150x150.jpg?identifier=a4f2b3307be2aa66a7210eecab6aa306,https://www.ocado.com/products/m-s-seedless-easy-peelers-517762011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Broccoli,,46p,LIFE 2d+,https://www.ocado.com/productImages/591/59106011_0_150x150.jpg?identifier=20f74459f616d5b29d36eb6f7a875be8,https://www.ocado.com/products/ocado-broccoli-59106011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Hass Avocados Perfectly Ripe,2 per pack,£2,LIFE 3d+,https://www.ocado.com/productImages/517/517789011_0_150x150.jpg?identifier=c689394f443620505609796e2520fb3d,https://www.ocado.com/products/m-s-hass-avocados-perfectly-ripe-517789011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado British Semi Skimmed Milk 2 Pints,1.136L,95p,LIFE 6d+,https://www.ocado.com/productImages/789/78922011_0_150x150.jpg?identifier=3e0cdffddf51152f7f156dbef651a0c9,https://www.ocado.com/products/ocado-british-semi-skimmed-milk-2-pints-78922011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Oatly Oat Drink Barista Edition Long Life,1L,£1.65,NA,https://www.ocado.com/productImages/274/274675011_0_150x150.jpg?identifier=d8eacb0e4473cd75d9d294dbc2ae3947,https://www.ocado.com/products/oatly-oat-drink-barista-edition-long-life-274675011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Large Free Range Eggs,12 per pack,£2.15,LIFE 1w+,https://www.ocado.com/productImages/572/57294011_0_150x150.jpg?identifier=4c7049008d3dafd54d8c0b2c708f5a91,https://www.ocado.com/products/ocado-large-free-range-eggs-57294011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Brown Onions,3 per pack,£1,LIFE 7d+,https://www.ocado.com/productImages/654/65448011_0_150x150.jpg?identifier=754c7de0ae837b64ee0b323a7edf9422,https://www.ocado.com/products/ocado-brown-onions-65448011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Carrots,1kg,40p,LIFE 2d+,https://www.ocado.com/productImages/630/63026011_0_150x150.jpg?identifier=c479377d0a9a2255262aa8781ae33bf7,https://www.ocado.com/products/ocado-carrots-63026011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado British 3-5 Chicken Breast Fillets,650g,£3.75,LIFE 3d+,https://www.ocado.com/productImages/574/57453011_0_150x150.jpg?identifier=e6138629ff9b896a0dcb2beab9690862,https://www.ocado.com/products/ocado-british-3-5-chicken-breast-fillets-57453011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Red Seedless Grapes,500g,£2,LIFE 3d+,https://www.ocado.com/productImages/967/96798011_0_150x150.jpg?identifier=197beffdcb736f851e16285ca820ec73,https://www.ocado.com/products/ocado-red-seedless-grapes-96798011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Blueberries,150g,£1.75,LIFE 3d+,https://www.ocado.com/productImages/536/53687011_0_150x150.jpg?identifier=95dcfd40fc699e0bea5a90ba7d54ef93,https://www.ocado.com/products/ocado-blueberries-53687011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Organic Bananas,5 per pack,£1.70,LIFE 2d+,https://www.ocado.com/productImages/514/514171011_0_150x150.jpg?identifier=749296a8e7cace683e688c1003cc49fc,https://www.ocado.com/products/m-s-organic-bananas-514171011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S British White Mushrooms,300g,£1,LIFE 2d+,https://www.ocado.com/productImages/518/518478011_0_150x150.jpg?identifier=8aeb2ad5831d1234dafee2fcb2bc59b1,https://www.ocado.com/products/m-s-british-white-mushrooms-518478011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S  Piccolini Cherry Tomatoes on the Vine,250g,£2.65,LIFE 3d+,https://www.ocado.com/productImages/517/517877011_0_150x150.jpg?identifier=a1a92c84580d8fcecb9591dc319f742b,https://www.ocado.com/products/m-s-piccolini-cherry-tomatoes-on-the-vine-517877011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Mixed Peppers,4 per pack,£1.80,LIFE 4d+,https://www.ocado.com/productImages/448/44858011_0_150x150.jpg?identifier=9d53d1267329aa8ee561330567df99d0,https://www.ocado.com/products/ocado-mixed-peppers-44858011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Little Gem Lettuce,2 per pack,95p,LIFE 3d+,https://www.ocado.com/productImages/517/517816011_0_150x150.jpg?identifier=70b7a22a7437540d8639575d0c0e4b8c,https://www.ocado.com/products/m-s-little-gem-lettuce-517816011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Lean Beef Steak Mince 5% Fat,500g,£3,LIFE 3d+,https://www.ocado.com/productImages/777/77760011_0_150x150.jpg?identifier=03bf27f78d4b66bb391c08ccde3ba845,https://www.ocado.com/products/ocado-lean-beef-steak-mince-5-fat-77760011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Red Onions,3 per pack,90p,LIFE 7d+,https://www.ocado.com/productImages/654/65453011_0_150x150.jpg?identifier=3af79aedda0b8a1a24516a3cae6f8a82,https://www.ocado.com/products/ocado-red-onions-65453011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado British Maris Piper Potatoes,2.5kg,£1.45,LIFE 2d+,https://www.ocado.com/productImages/652/65275011_0_150x150.jpg?identifier=8569a7fa232a92de3f6f149935885fa9,https://www.ocado.com/products/ocado-british-maris-piper-potatoes-65275011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Scottish Oak Smoked Salmon Slices,100g,£4.75,LIFE 6d+,https://www.ocado.com/productImages/505/505092011_0_150x150.jpg?identifier=a2c09b29413daed131353fe3f9fd2175,https://www.ocado.com/products/m-s-scottish-oak-smoked-salmon-slices-505092011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Cauliflower,,79p,LIFE 2d+,https://www.ocado.com/productImages/653/65350011_0_150x150.jpg?identifier=4bbcc0d2b9bc0c1f9e127522d59799fc,https://www.ocado.com/products/ocado-cauliflower-65350011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Chestnut Mushrooms,250g,£1.05,LIFE 2d+,https://www.ocado.com/productImages/733/73323011_0_150x150.jpg?identifier=ae252d0a64b500a3b297ab3665989993,https://www.ocado.com/products/ocado-chestnut-mushrooms-73323011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Courgettes,500g,£1.30,LIFE 4d+,https://www.ocado.com/productImages/316/316900011_0_150x150.jpg?identifier=672b915f11ff7eca9f4cd438e1973fea,https://www.ocado.com/products/ocado-courgettes-316900011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Easy Peelers,600g,£1.35,LIFE 2d+,https://www.ocado.com/productImages/448/44847011_0_150x150.jpg?identifier=ddf9cb59b040cc45a5a9ee85b3a52181,https://www.ocado.com/products/ocado-easy-peelers-44847011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Raspberries,150g,£2.35,LIFE 1d+,https://www.ocado.com/productImages/518/518227011_0_150x150.jpg?identifier=749a590f05eb0314c4c0e7c508c2379f,https://www.ocado.com/products/m-s-raspberries-518227011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Strawberries,227g,£2.35,LIFE 1d+,https://www.ocado.com/productImages/518/518303011_0_150x150.jpg?identifier=4fb3ccb49dbb5bfdba962df40cee8f3e,https://www.ocado.com/products/m-s-strawberries-518303011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Aubergine,,72p,LIFE 3d+,https://www.ocado.com/productImages/474/474749011_0_150x150.jpg?identifier=82e15c209b1c9d7d2e9e19731b058764,https://www.ocado.com/products/ocado-aubergine-474749011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
BerryWorld Strawberries ,227g,£3.15,LIFE 2d+,https://www.ocado.com/productImages/298/298701011_0_150x150.jpg?identifier=d7f55425381fd6f5b3181d70655f3a7d,https://www.ocado.com/products/berryworld-strawberries-298701011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Large Free Range Eggs,6 per pack,£1.25,LIFE 1w+,https://www.ocado.com/productImages/572/57293011_0_150x150.jpg?identifier=641dbc3b54166ef3c8120ffe457e9fec,https://www.ocado.com/products/ocado-large-free-range-eggs-57293011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Sweet Mixed Peppers,3 per pack,£1.60,LIFE 4d+,https://www.ocado.com/productImages/517/517694011_0_150x150.jpg?identifier=d3271589e89b8340ffac6a035f7baa66,https://www.ocado.com/products/m-s-sweet-mixed-peppers-517694011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Young Spinach Washed & Ready to Cook,80g,£1.05,LIFE 2d+,https://www.ocado.com/productImages/518/518345011_0_150x150.jpg?identifier=c5b1efe7d347007acf1bfc101063cdf8,https://www.ocado.com/products/m-s-young-spinach-washed-ready-to-cook-518345011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado British Whole Milk 4 Pints,2.272L,£1.15,LIFE 6d+,https://www.ocado.com/productImages/789/78920011_0_150x150.jpg?identifier=bcb8ae7baed241a3e2c8d111f682204c,https://www.ocado.com/products/ocado-british-whole-milk-4-pints-78920011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Pink Lady Apples,4 per pack,£2.65,LIFE 5d+,https://www.ocado.com/productImages/518/518306011_0_150x150.jpg?identifier=4495dae44f23a0192992adf27406b9ca,https://www.ocado.com/products/m-s-pink-lady-apples-518306011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Green Seedless Grapes,500g,£2,LIFE 3d+,https://www.ocado.com/productImages/967/96799011_0_150x150.jpg?identifier=c1568c6f35340c15cc9f6c999683aafe,https://www.ocado.com/products/ocado-green-seedless-grapes-96799011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Whole Celery,,63p,LIFE 4d+,https://www.ocado.com/productImages/517/517990011_0_150x150.jpg?identifier=9d80888ad8aaf202c3ea4d995dfbda4e,https://www.ocado.com/products/m-s-whole-celery-517990011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S British Jacket Potatoes,4 per pack,£1.80,LIFE 2d+,https://www.ocado.com/productImages/518/518651011_0_150x150.jpg?identifier=4d0cbf88f4b8a7ddc8c6b0d04a31f24b,https://www.ocado.com/products/m-s-british-jacket-potatoes-518651011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Baby Plum Tomatoes,325g,£1,LIFE 3d+,https://www.ocado.com/productImages/652/65254011_0_150x150.jpg?identifier=a6f54991910d9b04c7a38b29fa6acdbf,https://www.ocado.com/products/ocado-baby-plum-tomatoes-65254011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Greek Style Live Yogurt,500g,£1,LIFE 1w+,https://www.ocado.com/productImages/506/506114011_0_150x150.jpg?identifier=8332f836dd478045a33b1fbe5ad2fd64,https://www.ocado.com/products/m-s-greek-style-live-yogurt-506114011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Organic Cucumber,,£1.45,LIFE 5d+,https://www.ocado.com/productImages/520/520692011_0_150x150.jpg?identifier=1a2b0b90a8768082d7182da4efb623ce,https://www.ocado.com/products/m-s-organic-cucumber-520692011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Lemons,5 per pack,£1.12,LIFE 3d+,https://www.ocado.com/productImages/473/47305011_0_150x150.jpg?identifier=9a54c1965f0b51eee8c145ef4b1b27d6,https://www.ocado.com/products/ocado-lemons-47305011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Tomatoes,6 per pack,75p,LIFE 2d+,https://www.ocado.com/productImages/652/65255011_0_150x150.jpg?identifier=625269d8cf88104f0e30aa32b6c64451,https://www.ocado.com/products/ocado-tomatoes-65255011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Cherry Tomatoes,335g,£1.05,LIFE 2d+,https://www.ocado.com/productImages/517/517743011_0_150x150.jpg?identifier=83602ec38d6490931d78caedc229b8d2,https://www.ocado.com/products/m-s-cherry-tomatoes-517743011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
BerryWorld Blueberries,150g,£3,LIFE 3d+,https://www.ocado.com/productImages/298/298699011_0_150x150.jpg?identifier=6f292c1678592c671d4a47254f9561ed,https://www.ocado.com/products/berryworld-blueberries-298699011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
M&S Baby New Potatoes,750g,£1.60,LIFE 3d+,https://www.ocado.com/productImages/519/519958011_0_150x150.jpg?identifier=fd47aa72c1842a4f472136e3f5f38320,https://www.ocado.com/products/m-s-baby-new-potatoes-519958011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Yeo Valley Organic Semi-Skimmed Milk,2L,£2.20,LIFE 5d+,https://www.ocado.com/productImages/305/30568011_0_150x150.jpg?identifier=33c97b48dd2017adb73f290446043b31,https://www.ocado.com/products/yeo-valley-organic-semi-skimmed-milk-30568011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Houmous,200g,£1,LIFE 1w+,https://www.ocado.com/productImages/566/56648011_0_150x150.jpg?identifier=b645bcb1c1ca77983e4eb603b27e8bcf,https://www.ocado.com/products/ocado-houmous-56648011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
